round,gateway_eui,profile,uplink_count,error_count,avg_rssi,avg_snr,roaming_count,non_roaming_count
3,SIM_GW_R3_00000003,reliable,10,0,-72.9,7.3,6,4
3,SIM_GW_A1_00000004,average,10,0,-91.5,4.9,4,6
3,SIM_GW_A2_00000005,average,10,2,-88.2,3.3,6,4
3,SIM_GW_P1_00000006,poor,10,3,-104.9,-0.5,4,6
3,SIM_GW_P2_00000007,poor,10,1,-102.4,0.6,6,4
3,SIM_GW_D1_00000008,degrading,10,0,-82.0,5.3,6,4
4,SIM_GW_R1_00000001,reliable,10,0,-70.1,8.1,6,4
4,SIM_GW_R2_00000002,reliable,10,0,-68.7,8.8,3,7
4,SIM_GW_R3_00000003,reliable,10,1,-75.5,7.7,8,2
4,SIM_GW_A1_00000004,average,10,1,-90.7,4.0,5,5
4,SIM_GW_A2_00000005,average,10,1,-87.1,4.0,7,3
4,SIM_GW_P1_00000006,poor,10,2,-106.7,-0.4,3,7
4,SIM_GW_P2_00000007,poor,10,2,-102.3,0.4,8,2
4,SIM_GW_D1_00000008,degrading,10,2,-85.3,4.5,4,6
5,SIM_GW_R1_00000001,reliable,10,0,-72.2,9.0,2,8
5,SIM_GW_R2_00000002,reliable,10,1,-68.0,9.0,2,8
5,SIM_GW_R3_00000003,reliable,10,0,-76.7,7.3,3,7
5,SIM_GW_A1_00000004,average,10,1,-91.2,3.9,2,8
5,SIM_GW_A2_00000005,average,10,1,-87.6,3.5,5,5
5,SIM_GW_P1_00000006,poor,10,4,-104.1,-0.7,4,6
5,SIM_GW_P2_00000007,poor,10,1,-104.0,0.7,7,3
5,SIM_GW_D1_00000008,degrading,10,1,-87.9,3.4,4,6
6,SIM_GW_R1_00000001,reliable,10,0,-71.6,8.6,1,9
6,SIM_GW_R2_00000002,reliable,10,0,-67.7,8.9,3,7
6,SIM_GW_R3_00000003,reliable,10,1,-76.5,7.0,6,4
6,SIM_GW_A1_00000004,average,10,0,-88.7,4.3,3,7
6,SIM_GW_A2_00000005,average,10,1,-86.6,3.8,6,4
6,SIM_GW_P1_00000006,poor,10,2,-105.2,-0.9,2,8
6,SIM_GW_P2_00000007,poor,10,3,-102.3,0.1,3,7
6,SIM_GW_D1_00000008,degrading,10,3,-95.1,2.5,4,6
7,SIM_GW_R1_00000001,reliable,10,0,-74.7,8.6,3,7
7,SIM_GW_R2_00000002,reliable,10,0,-67.7,8.9,2,8
7,SIM_GW_R3_00000003,reliable,10,0,-77.0,7.8,9,1
7,SIM_GW_A1_00000004,average,10,2,-89.5,3.6,4,6
7,SIM_GW_A2_00000005,average,10,0,-88.2,3.5,4,6
7,SIM_GW_P1_00000006,poor,10,1,-103.9,-0.7,4,6
7,SIM_GW_P2_00000007,poor,10,1,-101.7,0.6,6,4
7,SIM_GW_D1_00000008,degrading,10,3,-96.8,2.0,2,8
8,SIM_GW_R1_00000001,reliable,10,0,-71.2,8.2,3,7
8,SIM_GW_R2_00000002,reliable,10,0,-67.5,8.7,2,8
8,SIM_GW_R3_00000003,reliable,10,0,-74.9,7.5,3,7
8,SIM_GW_A1_00000004,average,10,1,-89.3,3.6,4,6
8,SIM_GW_A2_00000005,average,10,0,-89.8,3.5,7,3
8,SIM_GW_P1_00000006,poor,10,1,-105.2,-1.2,3,7
8,SIM_GW_P2_00000007,poor,10,2,-103.8,-0.2,6,4
8,SIM_GW_D1_00000008,degrading,10,4,-102.0,0.8,3,7
9,SIM_GW_R1_00000001,reliable,10,0,-70.7,8.5,4,6
9,SIM_GW_R2_00000002,reliable,10,1,-67.4,9.2,4,6
9,SIM_GW_R3_00000003,reliable,10,0,-75.9,7.2,6,4
9,SIM_GW_A1_00000004,average,10,1,-91.2,4.1,2,8
9,SIM_GW_A2_00000005,average,10,0,-88.5,3.4,6,4
9,SIM_GW_P1_00000006,poor,10,1,-105.1,-0.5,2,8
9,SIM_GW_P2_00000007,poor,10,1,-102.0,0.4,9,1
9,SIM_GW_D1_00000008,degrading,10,3,-105.2,-0.3,3,7
